,lt_0 - slope,lt_0 - intercept,"fs_0 - beta(p=7,n=3)","fs_1 - beta(p=365.25,n=10)",sigma_log__,sigma
AVGO,0.4835709797383649,0.4946627304820363,[ 0.00138318  0.00011599 -0.0003736   0.00160113 -0.00103742 -0.00039418],"[ 0.01388809 -0.00406403 -0.00319563  0.00571716  0.00011962  0.00265772
 -0.00083545  0.00230037 -0.00269856 -0.00343213  0.00494137  0.00043281
 -0.00243831  0.00503073 -0.00328582 -0.00265513  0.00485554 -0.00038378
  0.00155974  0.00316158]",-4.400158736169283,0.012275391199832177
AVY,0.47736448592384934,0.487175822908405,[ 0.00204924  0.000189    0.00052757  0.00103484 -0.00024335  0.00026484],"[ 1.51717572e-02 -1.24583190e-03 -8.22961121e-03  9.44993341e-03
 -6.10618888e-03 -3.70804952e-03  8.12748852e-03 -4.66569206e-03
  2.54102696e-03  5.96411120e-03 -1.30402218e-03  2.86824136e-03
 -1.58782689e-03  2.79848474e-03 -5.12285180e-03 -6.86120333e-05
  2.36156229e-03 -3.98317851e-03  2.81048480e-03  2.77982149e-03]",-4.38746424384063,0.01243221434837743
AWK,1.7883070458737023,-0.8267580188182909,"[ 1.04814611e-03  7.13253056e-04  2.30550980e-04  6.06837926e-04
 -2.52688998e-05  3.44681574e-04]","[ 1.29712481e-02  5.73252927e-03 -1.60709048e-02  2.15870790e-03
  4.83804641e-03 -7.87531125e-03  8.82138702e-03  5.07507962e-03
 -2.26497360e-03  5.29941602e-03 -3.60122504e-03  2.11708012e-03
 -1.52079918e-03 -4.03426190e-03  3.61855059e-03  2.37723491e-03
 -1.86838868e-03  1.06815852e-05  7.69926973e-03  2.50780105e-03]",-4.9140388783316675,0.007342771799121066
AXP,-0.6451763529261914,1.5973317650443801,[-0.00316746  0.00054075 -0.00160475  0.00039955 -0.00065192 -0.00015335],"[ 0.01499342 -0.00717124  0.00011327  0.00891119 -0.00459302  0.00364529
  0.00183215 -0.00153615 -0.00224926  0.00327175 -0.00275021 -0.0035897
  0.00499648 -0.00157879  0.0007472   0.00420168  0.00165566  0.00106692
  0.00031775  0.00726319]",-4.140091619582345,0.015921392726334443
AZO,1.269186158529263,-0.3017727144753006,"[ 5.44722225e-04  2.28437838e-03 -1.39402066e-04  1.16830507e-03
  7.37695867e-05  1.11410179e-03]","[ 1.34026390e-02  2.03747325e-03 -1.12032722e-02  4.36835120e-03
  1.26850814e-03 -3.77621922e-03  4.58335462e-03  1.59338808e-03
  1.20596804e-04  4.67103768e-04  2.05879201e-03  3.98482602e-03
 -3.72680876e-03  2.53352218e-03 -2.04670178e-03  7.35329644e-05
 -1.40828448e-03 -1.53150244e-03  4.02799048e-03 -3.31133079e-03]",-4.598181946431696,0.010070127142809738
BA,0.8132622667958268,0.15796211347913303,"[ 2.94601434e-05  1.04536506e-03 -3.24412822e-04  5.96624101e-04
 -1.70336773e-04  2.53022345e-04]","[ 0.01498814 -0.00076018 -0.0089425   0.00879797 -0.00482509 -0.00436332
  0.00869978 -0.00290289  0.00077197  0.0061897  -0.00119021  0.00143722
 -0.001036    0.0029758  -0.00502764 -0.00054629  0.00375616 -0.00345418
  0.00209736  0.00477013]",-4.377629064794983,0.012555090667234215
BAC,0.47521047273924,0.48533392541181664,[-0.00053199  0.00177985 -0.00072769  0.00084302 -0.00025117  0.00043148],"[ 0.01606733 -0.00543717 -0.00307092  0.01201964 -0.00954263 -0.00017243
  0.00614965 -0.00691781  0.00226618  0.00546382 -0.00092694  0.00043366
  0.00113435  0.00380825 -0.00607666  0.0009129   0.00322612 -0.00331401
  0.00017349  0.00391864]",-4.513642425162481,0.010958471978932365
BAX,-0.8410717533312554,1.7977135489308118,[ 0.00041163  0.00035583 -0.0001299   0.00023772 -0.00016602 -0.00014388],"[ 1.64592908e-02 -8.29536594e-03  9.15507142e-04  1.31770921e-02
 -1.13534868e-02  3.39162893e-03  2.67775617e-03 -8.83047875e-03
  3.81596161e-03  2.80708952e-03  5.20553406e-04  1.75334774e-03
  3.73170887e-05  4.25020547e-03 -5.52172346e-03  3.91173778e-04
  2.50654512e-03 -2.36206640e-03  3.89855097e-04  1.19941635e-03]",-5.100606968636513,0.006093047154392436
BBY,0.48458663788794676,0.49652567489223337,[-0.00131649  0.00088858 -0.00044995 -0.0002759   0.00025891  0.00036264],"[ 0.01265952 -0.00012011 -0.00738048  0.0014505   0.00658853  0.00105628
 -0.00231932  0.00801594 -0.00524066 -0.00694283  0.00703701  0.0008093
 -0.00361987  0.00390997  0.00109776 -0.00193813  0.00121823  0.00504983
 -0.00293563 -0.00174409]",-4.644158489816297,0.009617619580136686
BDX,0.47633252300566464,0.4869638496541559,"[ 4.03785198e-04  8.78719014e-04 -5.43069669e-04  1.31324485e-03
 -6.77850504e-04  6.68183223e-05]","[ 1.55996756e-02 -4.01773648e-03 -4.50975836e-03  1.09084467e-02
 -8.15066527e-03 -5.69116892e-04  5.25911370e-03 -6.08044407e-03
  2.40552518e-03  3.79317535e-03  1.74449438e-06  1.10348066e-03
  1.11585097e-03  3.24158629e-03 -4.21507349e-03  2.39313204e-03
  4.98336393e-04 -1.76674706e-03  7.05234290e-04  2.42006593e-03]",-4.634171069012914,0.009714156066821324
